,file_name,ch,strain,time,treatment,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite,,,,,,,,,,,
1807,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_1.npz,3,Vic,2,RDV,234,126,5,21.6,,,,,,,,,,,
1808,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_2.npz,3,Vic,2,RDV,2,2,0,,,,,,,,,,,,
1809,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_3.npz,3,Vic,2,RDV,298,181,6,19.5,,,,,,,,,,,
1810,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_4.npz,3,Vic,2,RDV,0,0,0,,,,,,,,,,,,
1811,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_5.npz,3,Vic,2,RDV,317,86,5,46.2,,,,,,,,,,,
1812,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_6.npz,3,Vic,2,RDV,1032,535,12,41.41666667,,,,,,,,,,,
1813,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_7.npz,3,Vic,2,RDV,447,154,6,48.83333333,,,,,,,,,,,
1814,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch4_results_cell_0.npz,4,Vic,2,RDV,251,185,9,7.333333333,,,,,,,,,,,
1815,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch4_results_cell_1.npz,4,Vic,2,RDV,63,63,0,,,,,,,,,,,,
1816,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch4_results_cell_2.npz,4,Vic,2,RDV,3,3,0,,,,,,,,,,,,
1817,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch4_results_cell_3.npz,4,Vic,2,RDV,110,92,2,9,,,,,,,,,,,
1818,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch4_results_cell_4.npz,4,Vic,2,RDV,0,0,0,,,,,,,,,,,,
1819,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch4_results_cell_5.npz,4,Vic,2,RDV,47,47,0,,,,,,,,,,,,
1820,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch4_results_cell_6.npz,4,Vic,2,RDV,919,681,12,19.83333333,,,,,,,,,,,
1821,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch4_results_cell_7.npz,4,Vic,2,RDV,79,79,0,,,,,,,,,,,,
1822,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch3_results_cell_0.npz,3,Vic,2,RDV,1830,428,13,107.8461538,,,,,,,,,,,
1823,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch3_results_cell_1.npz,3,Vic,2,RDV,423,123,4,75,,,,,,,,,,,
1824,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch3_results_cell_2.npz,3,Vic,2,RDV,727,157,6,95,,,,,,,,,,,
1825,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch3_results_cell_3.npz,3,Vic,2,RDV,1192,265,8,115.875,,,,,,,,,,,
1826,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch3_results_cell_4.npz,3,Vic,2,RDV,482,118,5,72.8,,,,,,,,,,,
1827,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch3_results_cell_5.npz,3,Vic,2,RDV,1,1,0,,,,,,,,,,,,
1828,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch4_results_cell_0.npz,4,Vic,2,RDV,704,289,9,46.11111111,,,,,,,,,,,
1829,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch4_results_cell_1.npz,4,Vic,2,RDV,92,92,0,,,,,,,,,,,,
1830,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch4_results_cell_2.npz,4,Vic,2,RDV,191,102,2,44.5,,,,,,,,,,,
1831,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch4_results_cell_3.npz,4,Vic,2,RDV,239,179,1,60,,,,,,,,,,,
1832,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch4_results_cell_4.npz,4,Vic,2,RDV,324,75,3,83,,,,,,,,,,,
1833,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch4_results_cell_5.npz,4,Vic,2,RDV,0,0,0,,,,,,,,,,,,
1834,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_0.npz,3,Vic,2,RDV,453,200,4,63.25,,,,,,,,,,,
1835,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_1.npz,3,Vic,2,RDV,556,160,7,56.57142857,,,,,,,,,,,
1836,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_2.npz,3,Vic,2,RDV,118,56,1,62,,,,,,,,,,,
1837,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_3.npz,3,Vic,2,RDV,895,311,10,58.4,,,,,,,,,,,
1838,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_4.npz,3,Vic,2,RDV,650,202,7,64,,,,,,,,,,,
1839,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_5.npz,3,Vic,2,RDV,572,154,8,52.25,,,,,,,,,,,
1840,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_6.npz,3,Vic,2,RDV,520,187,8,41.625,,,,,,,,,,,
1841,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_7.npz,3,Vic,2,RDV,687,226,9,51.22222222,,,,,,,,,,,
1842,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch4_results_cell_0.npz,4,Vic,2,RDV,294,166,6,21.33333333,,,,,,,,,,,
1843,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch4_results_cell_1.npz,4,Vic,2,RDV,141,112,2,14.5,,,,,,,,,,,
1844,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch4_results_cell_2.npz,4,Vic,2,RDV,40,40,0,,,,,,,,,,,,
1845,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch4_results_cell_3.npz,4,Vic,2,RDV,333,285,3,16,,,,,,,,,,,
1846,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch4_results_cell_4.npz,4,Vic,2,RDV,425,201,7,32,,,,,,,,,,,
1847,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch4_results_cell_5.npz,4,Vic,2,RDV,133,92,1,41,,,,,,,,,,,
1848,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch4_results_cell_6.npz,4,Vic,2,RDV,247,163,4,21,,,,,,,,,,,
1849,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch4_results_cell_7.npz,4,Vic,2,RDV,317,186,6,21.83333333,,,,,,,,,,,
1850,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch3_results_cell_0.npz,3,Vic,2,RDV,52,28,3,8,,,,,,,,,,,
1851,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch3_results_cell_1.npz,3,Vic,2,RDV,320,109,4,52.75,,,,,,,,,,,
1852,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch3_results_cell_2.npz,3,Vic,2,RDV,200,142,3,19.33333333,,,,,,,,,,,
1853,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch3_results_cell_3.npz,3,Vic,2,RDV,87,59,1,28,,,,,,,,,,,
1854,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch3_results_cell_4.npz,3,Vic,2,RDV,311,77,5,46.8,,,,,,,,,,,
1855,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch3_results_cell_5.npz,3,Vic,2,RDV,444,116,9,36.44444444,,,,,,,,,,,
1856,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch3_results_cell_6.npz,3,Vic,2,RDV,251,166,4,21.25,,,,,,,,,,,
1857,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch4_results_cell_0.npz,4,Vic,2,RDV,14,14,0,,,,,,,,,,,,
1858,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch4_results_cell_1.npz,4,Vic,2,RDV,135,75,4,15,,,,,,,,,,,
1859,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch4_results_cell_2.npz,4,Vic,2,RDV,89,89,0,,,,,,,,,,,,
1860,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch4_results_cell_3.npz,4,Vic,2,RDV,45,45,1,0,,,,,,,,,,,
1861,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch4_results_cell_4.npz,4,Vic,2,RDV,49,49,0,,,,,,,,,,,,
1862,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch4_results_cell_5.npz,4,Vic,2,RDV,104,91,1,13,,,,,,,,,,,
1863,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch4_results_cell_6.npz,4,Vic,2,RDV,166,140,4,6.5,,,,,,,,,,,
1864,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch3_results_cell_0.npz,3,Vic,2,RDV,435,173,7,37.42857143,,,,,,,,,,,
1865,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch3_results_cell_1.npz,3,Vic,2,RDV,183,102,2,40.5,,,,,,,,,,,
1866,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch3_results_cell_2.npz,3,Vic,2,RDV,217,93,4,31,,,,,,,,,,,
1867,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch3_results_cell_3.npz,3,Vic,2,RDV,167,66,2,50.5,,,,,,,,,,,
1868,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch3_results_cell_4.npz,3,Vic,2,RDV,607,264,11,31.18181818,,,,,,,,,,,
1869,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch4_results_cell_0.npz,4,Vic,2,RDV,120,104,2,8,,,,,,,,,,,
1870,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch4_results_cell_1.npz,4,Vic,2,RDV,97,75,2,11,,,,,,,,,,,
1871,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch4_results_cell_2.npz,4,Vic,2,RDV,98,71,1,27,,,,,,,,,,,
1872,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch4_results_cell_3.npz,4,Vic,2,RDV,44,44,0,,,,,,,,,,,,
1873,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00005_ch4_results_cell_4.npz,4,Vic,2,RDV,251,232,2,9.5,,,,,,,,,,,
1874,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_0.npz,3,Vic,2,RDV,370,113,6,42.83333333,,,,,,,,,,,
1875,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_1.npz,3,Vic,2,RDV,312,106,7,29.42857143,,,,,,,,,,,
1876,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_2.npz,3,Vic,2,RDV,185,103,3,27.33333333,,,,,,,,,,,
1877,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_3.npz,3,Vic,2,RDV,469,123,9,38.44444444,,,,,,,,,,,
1878,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_4.npz,3,Vic,2,RDV,287,73,4,53.5,,,,,,,,,,,
1879,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_5.npz,3,Vic,2,RDV,414,101,7,44.71428571,,,,,,,,,,,
1880,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_6.npz,3,Vic,2,RDV,354,104,4,62.5,,,,,,,,,,,
1881,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_7.npz,3,Vic,2,RDV,488,116,6,62,,,,,,,,,,,
1882,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_8.npz,3,Vic,2,RDV,705,137,9,63.11111111,,,,,,,,,,,
1883,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch3_results_cell_9.npz,3,Vic,2,RDV,643,206,9,48.55555556,,,,,,,,,,,
1884,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_0.npz,4,Vic,2,RDV,172,80,3,30.66666667,,,,,,,,,,,
1885,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_1.npz,4,Vic,2,RDV,62,62,0,,,,,,,,,,,,
1886,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_2.npz,4,Vic,2,RDV,112,62,2,25,,,,,,,,,,,
1887,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_3.npz,4,Vic,2,RDV,90,89,1,1,,,,,,,,,,,
1888,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_4.npz,4,Vic,2,RDV,48,48,0,,,,,,,,,,,,
1889,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_5.npz,4,Vic,2,RDV,56,56,0,,,,,,,,,,,,
1890,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_6.npz,4,Vic,2,RDV,191,83,3,36,,,,,,,,,,,
1891,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_7.npz,4,Vic,2,RDV,163,93,3,23.33333333,,,,,,,,,,,
1892,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_8.npz,4,Vic,2,RDV,160,98,2,31,,,,,,,,,,,
1893,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00006_ch4_results_cell_9.npz,4,Vic,2,RDV,239,154,6,14.16666667,,,,,,,,,,,
1894,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch3_results_cell_0.npz,3,Vic,2,RDV,155,50,2,52.5,,,,,,,,,,,
1895,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch3_results_cell_1.npz,3,Vic,2,RDV,435,164,8,33.875,,,,,,,,,,,
1896,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch3_results_cell_2.npz,3,Vic,2,RDV,205,122,3,27.66666667,,,,,,,,,,,
1897,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch3_results_cell_3.npz,3,Vic,2,RDV,165,97,2,34,,,,,,,,,,,
1898,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch3_results_cell_4.npz,3,Vic,2,RDV,230,94,4,34,,,,,,,,,,,
1899,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch3_results_cell_5.npz,3,Vic,2,RDV,487,251,9,26.22222222,,,,,,,,,,,
1900,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch4_results_cell_0.npz,4,Vic,2,RDV,24,24,0,,,,,,,,,,,,
1901,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch4_results_cell_1.npz,4,Vic,2,RDV,111,95,2,8,,,,,,,,,,,
1902,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch4_results_cell_2.npz,4,Vic,2,RDV,71,71,0,,,,,,,,,,,,
1903,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch4_results_cell_3.npz,4,Vic,2,RDV,84,65,2,9.5,,,,,,,,,,,
1904,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch4_results_cell_4.npz,4,Vic,2,RDV,108,83,1,25,,,,,,,,,,,
1905,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch4_results_cell_5.npz,4,Vic,2,RDV,248,219,3,9.666666667,,,,,,,,,,,
1906,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_0.npz,3,Vic,2,RDV,424,102,4,80.5,,,,,,,,,,,
1907,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_10.npz,3,Vic,2,RDV,231,115,3,38.66666667,,,,,,,,,,,
1908,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_11.npz,3,Vic,2,RDV,156,71,2,42.5,,,,,,,,,,,
1909,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_12.npz,3,Vic,2,RDV,836,270,9,62.88888889,,,,,,,,,,,
1910,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_1.npz,3,Vic,2,RDV,631,147,7,69.14285714,,,,,,,,,,,
1911,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_2.npz,3,Vic,2,RDV,155,75,2,40,,,,,,,,,,,
1912,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_3.npz,3,Vic,2,RDV,48,48,0,,,,,,,,,,,,
1913,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_4.npz,3,Vic,2,RDV,32,32,0,,,,,,,,,,,,
1914,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_5.npz,3,Vic,2,RDV,175,122,2,26.5,,,,,,,,,,,
1915,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_6.npz,3,Vic,2,RDV,133,90,3,14.33333333,,,,,,,,,,,
1916,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_7.npz,3,Vic,2,RDV,155,90,2,32.5,,,,,,,,,,,
1917,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_8.npz,3,Vic,2,RDV,460,119,7,48.71428571,,,,,,,,,,,
1918,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch3_results_cell_9.npz,3,Vic,2,RDV,136,84,2,26,,,,,,,,,,,
1919,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_0.npz,4,Vic,2,RDV,229,84,4,36.25,,,,,,,,,,,
1920,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_10.npz,4,Vic,2,RDV,144,103,3,13.66666667,,,,,,,,,,,
1921,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_11.npz,4,Vic,2,RDV,74,54,1,20,,,,,,,,,,,
1922,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_12.npz,4,Vic,2,RDV,400,184,6,36,,,,,,,,,,,
1923,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_1.npz,4,Vic,2,RDV,227,134,3,31,,,,,,,,,,,
1924,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_2.npz,4,Vic,2,RDV,77,56,1,21,,,,,,,,,,,
1925,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_3.npz,4,Vic,2,RDV,36,36,0,,,,,,,,,,,,
1926,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_4.npz,4,Vic,2,RDV,24,24,0,,,,,,,,,,,,
1927,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_5.npz,4,Vic,2,RDV,61,61,0,,,,,,,,,,,,
1928,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_6.npz,4,Vic,2,RDV,57,57,0,,,,,,,,,,,,
1929,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_7.npz,4,Vic,2,RDV,83,75,2,4,,,,,,,,,,,
1930,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_8.npz,4,Vic,2,RDV,168,92,4,19,,,,,,,,,,,
1931,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00008_ch4_results_cell_9.npz,4,Vic,2,RDV,60,60,0,,,,,,,,,,,,
1932,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_0.npz,3,Vic,2,RDV,120,71,1,49,,,,,,,,,,,
1933,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_1.npz,3,Vic,2,RDV,173,130,2,21.5,,,,,,,,,,,
1934,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_2.npz,3,Vic,2,RDV,181,73,4,27,,,,,,,,,,,
1935,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_3.npz,3,Vic,2,RDV,285,150,4,33.75,,,,,,,,,,,
1936,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_4.npz,3,Vic,2,RDV,515,155,8,45,,,,,,,,,,,
1937,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_5.npz,3,Vic,2,RDV,159,78,2,40.5,,,,,,,,,,,
1938,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_6.npz,3,Vic,2,RDV,415,176,10,23.9,,,,,,,,,,,
1939,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_7.npz,3,Vic,2,RDV,87,70,1,17,,,,,,,,,,,
1940,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_8.npz,3,Vic,2,RDV,259,61,5,39.6,,,,,,,,,,,
1941,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch4_results_cell_0.npz,4,Vic,2,RDV,120,61,2,29.5,,,,,,,,,,,
1942,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch4_results_cell_1.npz,4,Vic,2,RDV,68,68,0,,,,,,,,,,,,
1943,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch4_results_cell_2.npz,4,Vic,2,RDV,94,68,1,26,,,,,,,,,,,
1944,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch4_results_cell_3.npz,4,Vic,2,RDV,229,156,4,18.25,,,,,,,,,,,
1945,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch4_results_cell_4.npz,4,Vic,2,RDV,164,106,4,14.5,,,,,,,,,,,
1946,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch4_results_cell_5.npz,4,Vic,2,RDV,193,127,4,16.5,,,,,,,,,,,
1947,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch4_results_cell_6.npz,4,Vic,2,RDV,181,146,4,8.75,,,,,,,,,,,
1948,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch4_results_cell_7.npz,4,Vic,2,RDV,68,68,0,,,,,,,,,,,,
1949,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch4_results_cell_8.npz,4,Vic,2,RDV,150,76,3,24.66666667,,,,,,,,,,,
1950,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch3_results_cell_0.npz,3,Vic,2,RDV,398,209,5,37.8,,,,,,,,,,,
1951,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch3_results_cell_1.npz,3,Vic,2,RDV,682,253,11,39,,,,,,,,,,,
1952,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch3_results_cell_2.npz,3,Vic,2,RDV,216,134,2,41,,,,,,,,,,,
1953,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch3_results_cell_3.npz,3,Vic,2,RDV,883,262,12,51.75,,,,,,,,,,,
1954,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch3_results_cell_4.npz,3,Vic,2,RDV,466,144,7,46,,,,,,,,,,,
1955,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch3_results_cell_5.npz,3,Vic,2,RDV,1303,468,20,41.75,,,,,,,,,,,
1956,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch4_results_cell_0.npz,4,Vic,2,RDV,286,171,5,23,,,,,,,,,,,
1957,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch4_results_cell_1.npz,4,Vic,2,RDV,299,183,5,23.2,,,,,,,,,,,
1958,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch4_results_cell_2.npz,4,Vic,2,RDV,199,128,4,17.75,,,,,,,,,,,
1959,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch4_results_cell_3.npz,4,Vic,2,RDV,317,161,4,39,,,,,,,,,,,
1960,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch4_results_cell_4.npz,4,Vic,2,RDV,279,141,5,27.6,,,,,,,,,,,
1961,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00010_ch4_results_cell_5.npz,4,Vic,2,RDV,499,262,8,29.625,,,,,,,,,,,
1962,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_0.npz,3,Vic,2,RDV,457,188,5,53.8,,,,,,,,,,,
1963,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_1.npz,3,Vic,2,RDV,149,83,2,33,,,,,,,,,,,
1964,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_2.npz,3,Vic,2,RDV,1,1,0,,,,,,,,,,,,
1965,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_3.npz,3,Vic,2,RDV,749,186,12,46.91666667,,,,,,,,,,,
1966,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_4.npz,3,Vic,2,RDV,170,76,4,23.5,,,,,,,,,,,
1967,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_5.npz,3,Vic,2,RDV,363,121,4,60.5,,,,,,,,,,,
1968,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_6.npz,3,Vic,2,RDV,420,118,5,60.4,,,,,,,,,,,
1969,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_7.npz,3,Vic,2,RDV,193,75,2,59,,,,,,,,,,,
1970,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_8.npz,3,Vic,2,RDV,466,172,8,36.75,,,,,,,,,,,
1971,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_9.npz,3,Vic,2,RDV,1233,313,11,83.63636364,,,,,,,,,,,
1972,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch4_results_cell_0.npz,4,Vic,2,RDV,203,113,3,30,,,,,,,,,,,
1973,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch4_results_cell_1.npz,4,Vic,2,RDV,162,79,3,27.66666667,,,,,,,,,,,
1974,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch4_results_cell_2.npz,4,Vic,2,RDV,1,1,0,,,,,,,,,,,,
1975,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch4_results_cell_3.npz,4,Vic,2,RDV,84,84,0,,,,,,,,,,,,
1976,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch4_results_cell_4.npz,4,Vic,2,RDV,111,77,3,11.33333333,,,,,,,,,,,
1977,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch4_results_cell_5.npz,4,Vic,2,RDV,76,76,0,,,,,,,,,,,,
1978,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch4_results_cell_6.npz,4,Vic,2,RDV,155,89,3,22,,,,,,,,,,,
1979,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch4_results_cell_7.npz,4,Vic,2,RDV,140,89,3,17,,,,,,,,,,,
